run,label,direction,kind,bytes,mode,workers,trial,persistence,request_bytes,split_min_bytes,elapsed_seconds,status,verified,control_ready_seconds,planning_complete_seconds,workers_complete_seconds,worker_startup_min_seconds,worker_startup_max_seconds,range_requests,streaming_ranges,streamed_blocks,stream_discarded_bytes,stream_shrink_requests,small_batches,local_whole_files
streaming-oxtwxfax,pull-large-auto-p16-j8-r2,pull,large,16777216,auto-p16,8,2,off,4194304,33554432,11.710053250193596,ok,True,3.51,4.35,11.5,3.36,5.8,4,0,0,0,0,0,0
streaming-oxtwxfax,pull-large-auto-p4-j8-r2,pull,large,16777216,auto-p4,8,2,off,4194304,33554432,12.223650209140033,ok,True,3.42,4.27,12.01,3.45,6.04,4,0,0,0,0,0,0
streaming-oxtwxfax,pull-small-auto-streaming-j8-r2,pull,small,8388608,auto-streaming,8,2,off,4194304,33554432,8.31712770787999,ok,True,3.45,4.76,8.02,0.62,0.62,0,0,0,0,0,8,0
streaming-oxtwxfax,pull-small-auto-p16-j8-r2,pull,small,8388608,auto-p16,8,2,off,4194304,33554432,7.907120000105351,ok,True,3.24,4.5,7.63,0.66,0.66,0,0,0,0,0,8,0
streaming-oxtwxfax,pull-small-auto-p4-j8-r2,pull,small,8388608,auto-p4,8,2,off,4194304,33554432,9.103370167315006,ok,True,3.4,4.65,8.85,0.67,0.67,0,0,0,0,0,8,0
streaming-oxtwxfax,pull-large-auto-p16-j8-r3,pull,large,16777216,auto-p16,8,3,off,4194304,33554432,11.800893749576062,ok,True,3.42,4.19,11.55,3.28,5.72,4,0,0,0,0,0,0
streaming-oxtwxfax,pull-large-auto-p4-j8-r3,pull,large,16777216,auto-p4,8,3,off,4194304,33554432,12.330689291935414,ok,True,3.47,4.32,12.06,3.81,5.79,4,0,0,0,0,0,0
streaming-oxtwxfax,pull-large-auto-streaming-j8-r3,pull,large,16777216,auto-streaming,8,3,off,4194304,33554432,11.756076999939978,ok,True,3.35,4.19,11.54,3.33,5.79,0,1,4,0,0,0,0
streaming-oxtwxfax,pull-small-auto-p16-j8-r3,pull,small,8388608,auto-p16,8,3,off,4194304,33554432,8.05280320905149,ok,True,3.31,4.47,7.81,0.67,0.68,0,0,0,0,0,8,0
streaming-oxtwxfax,pull-small-auto-p4-j8-r3,pull,small,8388608,auto-p4,8,3,off,4194304,33554432,9.02475450001657,ok,True,3.57,4.73,8.81,0.65,0.66,0,0,0,0,0,8,0
streaming-oxtwxfax,pull-small-auto-streaming-j8-r3,pull,small,8388608,auto-streaming,8,3,off,4194304,33554432,10.234914457891136,ok,True,3.59,4.8,10.03,0.71,0.72,0,0,0,0,0,8,0
streaming-q0ed8xi3,push-large-auto-p4-j8-r1-split8,push,large,33554432,auto-p4,8,1,off,4194304,8388608,24.954259833320975,ok,True,3.83,5.06,24.46,3.68,6.64,8,0,0,0,0,0,0
streaming-q0ed8xi3,push-large-auto-streaming-j8-r1-split8,push,large,33554432,auto-streaming,8,1,off,4194304,8388608,25.039773707743734,timeout,False,3.47,5.03,,3.52,6.07,,,,,,,
streaming-q0ed8xi3,push-large-rsync-j0-r1,push,large,33554432,rsync,0,1,off,,,15.304188166745007,ok,True,,,,,,,,,,,,
streaming-q0ed8xi3,push-large-auto-streaming-j8-r2-split8,push,large,33554432,auto-streaming,8,2,off,4194304,8388608,25.04744533309713,timeout,False,3.3,4.53,24.93,3.28,5.76,,,,,,,
streaming-q0ed8xi3,push-large-rsync-j0-r2,push,large,33554432,rsync,0,2,off,,,16.30128137487918,ok,True,,,,,,,,,,,,
streaming-q0ed8xi3,push-large-auto-p4-j8-r2-split8,push,large,33554432,auto-p4,8,2,off,4194304,8388608,22.38128854194656,ok,True,3.3,4.53,21.97,3.29,5.89,8,0,0,0,0,0,0
streaming-q0ed8xi3,push-large-rsync-j0-r3,push,large,33554432,rsync,0,3,off,,,25.052778834011406,timeout,False,,,,,,,,,,,,
streaming-q0ed8xi3,push-large-auto-p4-j8-r3-split8,push,large,33554432,auto-p4,8,3,off,4194304,8388608,25.067434375174344,timeout,False,3.45,4.68,,3.32,5.94,,,,,,,
streaming-q0ed8xi3,push-large-auto-streaming-j8-r3-split8,push,large,33554432,auto-streaming,8,3,off,4194304,8388608,19.502402666956186,ok,True,3.45,4.68,19.04,3.66,6.47,0,2,8,0,0,0,0
streaming-q0ed8xi3,pull-large-auto-p4-j8-r1-split8,pull,large,33554432,auto-p4,8,1,off,4194304,8388608,13.29212470818311,ok,True,3.37,4.23,13.05,3.33,5.67,8,0,0,0,0,0,0
streaming-q0ed8xi3,pull-large-auto-streaming-j8-r1-split8,pull,large,33554432,auto-streaming,8,1,off,4194304,8388608,13.997275833040476,ok,True,3.38,4.22,13.72,3.34,5.66,0,3,8,0,1,0,0
streaming-q0ed8xi3,pull-large-auto-streaming-j8-r2-split8,pull,large,33554432,auto-streaming,8,2,off,4194304,8388608,13.99205508409068,ok,True,3.39,4.22,13.74,3.19,5.58,0,3,8,0,1,0,0
streaming-q0ed8xi3,pull-large-auto-p4-j8-r2-split8,pull,large,33554432,auto-p4,8,2,off,4194304,8388608,14.812934291083366,ok,True,3.37,4.22,14.6,5.66,5.77,8,0,0,0,0,0,0
streaming-q0ed8xi3,pull-large-auto-p4-j8-r3-split8,pull,large,33554432,auto-p4,8,3,off,4194304,8388608,13.60580916609615,ok,True,3.51,4.36,13.34,3.34,5.66,8,0,0,0,0,0,0
streaming-q0ed8xi3,pull-large-auto-streaming-j8-r3-split8,pull,large,33554432,auto-streaming,8,3,off,4194304,8388608,13.485382749699056,ok,True,3.24,4.09,13.21,3.3,5.61,0,3,8,0,1,0,0
